,cong_id,congregation_name,kings_requested,doubles_requested,priority_incentive,hotel_price_range,hotel_location,assigned_hotel
0,2955,Zion Lutheran Church,0,6,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Convention Center,Hyatt Regency New Orleans
1,3271,First Lutheran Church,1,5,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Convention Center,New Orleans Marriott
2,2968,Gethsemane Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Convention Center,New Orleans Marriott
3,10158,Our Saviour’s Lutheran Church ,0,3,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Convention Center,The Westin New Orleans
4,12162,Faith Lutheran Church,0,3,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Four Points French Quarter
5,6698,St Stephen The Martyr Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Hyatt Regency New Orleans
6,5832,Trinity Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Le Meridien New Orleans
7,11276,Holy Spirit Lutheran Church,1,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,New Orleans Marriott
8,9900,Luther Heights Bible Camp,2,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,New Orleans Marriott
9,10237,Luther Memorial Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,New Orleans Marriott
10,7525,Lutheran Church Of Our Saviour,1,1,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,New Orleans Marriott
11,2914,Lutheran Church Of The Good Shepherd,0,7,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,New Orleans Marriott
12,13243,Trinity Lutheran Church,2,4,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Renaissance New Orleans Arts Warehouse District Hotel
13,12850,Our Savior Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,The Westin New Orleans
14,1977,Salem Lutheran Church,0,3,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Wyndham French Quarter
15,13055,St Jacob Lutheran Church,1,1,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Wyndham Garden Baronne Plaza New Orleans
16,10870,St John American Lutheran Church,2,5,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Downtown,Wyndham Garden Baronne Plaza New Orleans
17,16452,Atonement Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,Astor Crowne Plaza New Orleans French Quarter
18,10655,St Petri Lutheran Church,1,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,Hilton New Orleans Riverside
19,2658,St Stephen Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,Hyatt Regency New Orleans
20,5004,Streams in the Desert Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,Hyatt Regency New Orleans
21,13368,Trinity Lutheran Church Of Choteau,0,3,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,Hyatt Regency New Orleans
22,2694,First English Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,New Orleans Marriott
23,2959,First Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,New Orleans Marriott
24,12671,First Lutheran Church,0,4,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,New Orleans Marriott
25,3287,Immanuel Lutheran Church,2,7,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,New Orleans Marriott
26,14741,Mount Carmel Lutheran Church,1,4,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,New Orleans Marriott
27,14029,Trinity Lutheran Church,4,0,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,New Orleans Marriott
28,10835,St Paul Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,French Quarter,Sheraton New Orleans Hotel
29,12160,Bethany Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,Astor Crowne Plaza New Orleans French Quarter
30,13278,Epiphany Lutheran Church,2,3,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,Four Points French Quarter
31,1120,St Peter's Lutheran Church,1,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,Hilton New Orleans Riverside
32,11776,Trinity Lutheran Church,2,4,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,Le Meridien New Orleans
33,5771,Lutheran Church of the Redeemer,3,3,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,New Orleans Marriott
34,7079,Messiah Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,New Orleans Marriott
35,11847,Oak Knoll Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,Superdome,New Orleans Marriott
36,1318,Calvary Evangelical Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,,Astor Crowne Plaza New Orleans French Quarter
37,30411,Hosanna Lutheran Church,1,2,ACCOMPANIMENT EXPERIENCE,$140-150 + tax,,New Orleans Marriott
38,30559,Capitol Hill Lutheran Church,0,4,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,Astor Crowne Plaza New Orleans French Quarter
39,14139,Christ Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,Astor Crowne Plaza New Orleans French Quarter
40,7571,Christus Victor Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,Astor Crowne Plaza New Orleans French Quarter
41,781,Reformation Lutheran Church,2,1,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,Le Pavillon Hotel
42,11657,Faith Lutheran Church,1,2,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,New Orleans Marriott
43,10488,Grace Lutheran Church,0,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,New Orleans Marriott
44,4199,Kimball Memorial Lutheran Church,2,4,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,New Orleans Marriott
45,11702,Little Cedar Lutheran Church,2,4,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,New Orleans Marriott
46,13159,Peace Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,The Westin New Orleans
47,11676,Bethlehem Lutheran Church,0,0,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Convention Center,
48,30130,Abiding Presence Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
49,7587,Advent Lutheran Church,3,0,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
50,30201,Alleluia Lutheran Church,1,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
51,3211,Bethesda Lutheran Church,1,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
52,13493,Bethlehem Lutheran Church,4,17,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
53,10329,Christ Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
54,14659,Christ The King Lutheran Church,0,2,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
55,5959,Christ The King Lutheran Church,2,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
56,13925,Elim Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Astor Crowne Plaza New Orleans French Quarter
57,5364,Esther Lutheran Church,0,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Courtyard New Orleans French Quarter/Iberville
58,5718,St Stephen Lutheran Church,2,2,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hilton New Orleans Riverside
59,2024,Test Congregation,1,0,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Homewood Suites New Orleans French Quarter
60,11412,St John Lutheran Church,0,7,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hyatt Regency New Orleans
61,1108,St Mark Lutheran Church,0,4,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hyatt Regency New Orleans
62,727,St Mark Lutheran Church,0,5,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hyatt Regency New Orleans
63,12146,St Stephen Lutheran Church,0,7,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hyatt Regency New Orleans
64,12004,Trinity Lutheran Church,0,6,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hyatt Regency New Orleans
65,10642,Zion Evangelical Lutheran Church,0,6,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,Hyatt Regency New Orleans
66,14650,Faith Lutheran Church,3,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,New Orleans Marriott
67,10758,First English Lutheran Church,1,6,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,New Orleans Marriott
68,12882,First Lutheran Church,1,1,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,New Orleans Marriott
69,30107,Gateway Trinity Lutheran Church Of The Elca,1,5,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,New Orleans Marriott
70,6077,Grace Lutheran Church,0,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,New Orleans Marriott
71,10984,Grace Lutheran Church,0,3,ACCOMPANIMENT EXPERIENCE,$151-165 + tax,Downtown,New Orleans Marriott
