Cong ID,Congregation Name,Number of Youth Male,Number of Youth Female,Number of Youth Nonbinary,Number of Youth Gender Non-Conforming,Number of Adult Male,Number of Adult Female,Number of Adult Nonbinary,Number of Adult Gender Non-Conforming,Number of MYLE participants,Number of the tAble participants,Doubles Requested,Kings Requested,Priority Incentive,Hotel Price Range,Hotel Location
11449,Aardahl Lutheran Church,1,,,,,1,,,,2,,1,Hotel price,$140-150 + tax,Superdome
4755,Abiding Christ Lutheran Church,3,2,,,1,1,,,,,,,,,
30906,Abiding Grace Lutheran Church,1,8,,,2,1,,1,,,4,3,Hotel location,$166-185 + tax,Convention Center
16407,Abiding Hope Lutheran Church,14,19,,,2,8,,,,,9,4,Hotel location,$166-185 + tax,Downtown
16162,Abiding Love Lutheran Church,2,3,,1,1,2,,,,,4,1,Hotel price,$151-165 + tax,Downtown
3736,Abiding Presence Lutheran Church,2,1,,,1,1,,,,,2,1,Hotel location,$140-150 + tax,French Quarter
30130,Abiding Presence Lutheran Church,4,2,,,1,2,,,,,2,2,Accompaniment experience,$151-165 + tax,Downtown
7573,Abiding Presence Lutheran Church,3,8,,,2,2,,,,2,5,,Hotel location,$151-165 + tax,Downtown
11864,Abiding Savior Lutheran Church,,,,,1,1,,,,,,,,,
4538,Advent Evangelical Lutheran Church,2,3,,2,1,1,,,,,2,1,Accompaniment experience,$166-185 + tax,Superdome
7751,Advent Lutheran Church,3,1,,,1,1,,,,,,,,,
7224,Advent Lutheran Church,1,,,,1,,,,,,,1,Hotel price,$140-150 + tax,Superdome
7587,Advent Lutheran Church,,2,,,1,1,,,,,,3,Accompaniment experience,$151-165 + tax,Downtown
30694,Advent Lutheran Church,,1,,,1,,,,,,1,,Hotel price,$140-150 + tax,Superdome
13889,Advent Lutheran Church,5,,,,1,1,,,,,1,3,Hotel location,$151-165 + tax,Downtown
5127,Advent Lutheran Church,1,3,,,1,1,,,,,2,1,Hotel location,$151-165 + tax,Convention Center
12922,Advent Lutheran Church,3,5,,,1,2,,,,,3,,,,
5476,Advent Lutheran Church,1,2,,,1,2,,,,,3,,Hotel location,$151-165 + tax,Superdome
5827,Advent Lutheran Church,2,2,,,1,2,,,,,5,,Hotel location,$166-185 + tax,Superdome
700,Advent Lutheran Church Of Goschenhoppen,1,3,,,,2,,,,,3,,Accompaniment experience,$166-185 + tax,Downtown
7716,All Saints Lutheran Church,4,4,,,2,1,,,,,2,2,Hotel location,$151-165 + tax,French Quarter
7468,All Saints Lutheran Church,1,9,,,4,1,,,,,8,,Hotel location,$166-185 + tax,Superdome
4535,All Saints Lutheran Church,11,19,,,4,2,,,,,12,1,Hotel location,$166-185 + tax,Superdome
30044,All Shepherds Lutheran Church,4,5,,,1,2,,,,,3,2,Accompaniment experience,$151-165 + tax,Superdome
758,Allegheny Lutheran Church,4,12,,1,2,8,,,,,8,,Hotel location,$151-165 + tax,French Quarter
30201,Alleluia Lutheran Church,1,2,,,1,,,1,,,3,1,Accompaniment experience,$151-165 + tax,Downtown
30421,Alleluia Lutheran Church,17,17,,,2,5,,,,,13,4,Hotel location,$166-185 + tax,Downtown
16241,Amazing Grace Lutheran Church,,,,,1,,,,,,,,,,
16014,Amazing Grace Lutheran Church,7,12,,,2,5,,,,,8,,Hotel price,$140-150 + tax,Downtown
12243,American Lutheran Church,3,2,,,1,1,,,,,2,,Hotel price,$140-150 + tax,Downtown
13646,American Lutheran Church,3,4,,,1,1,,,,,3,1,Accompaniment experience,$166-185 + tax,Superdome
11011,American Lutheran Church,1,5,,,1,2,,,,,4,,Hotel location,$140-150 + tax,Downtown
10009,American Lutheran Church,4,9,,,1,2,,,,,7,,Hotel location,$166-185 + tax,Downtown
10110,American Lutheran Church,13,13,,,3,7,,,,,10,,Hotel location,$166-185 + tax,Downtown
1661,Andover Lutheran Church,,3,,,,3,,,,,2,,Accompaniment experience,$166-185 + tax,Downtown
1751,Apostles Lutheran Church,,3,,,1,2,,,,,3,,Hotel location,$151-165 + tax,Superdome
22,Ascención Lutheran Church,3,3,,,1,1,,,8,,2,,Hotel price,$151-165 + tax,Downtown
5187,Ascension Lutheran Church,4,,,1,,2,,,,,,,,,
12902,Ascension Lutheran Church,,1,,,,2,,,,,,,,,
13522,Ascension Lutheran Church,1,4,,,1,3,,,,,,,,,
3926,Ascension Lutheran Church,5,3,,,1,1,,,,,2,2,Hotel location,$166-185 + tax,Downtown
13865,Ascension Lutheran Church,1,1,,,1,1,,,4,,3,1,,,
10052,Ascension Lutheran Church,4,4,,,1,3,,,,,3,1,Hotel location,$151-165 + tax,Downtown
13366,Ascension Lutheran Church,5,4,,,2,3,,,,,4,,Hotel location,$151-165 + tax,Convention Center
20269,Ascension Lutheran Church,10,2,,,2,3,,,7,,4,1,Hotel location,,
11367,Ascension Lutheran Church,2,15,,,4,6,,,,,7,3,Hotel location,$151-165 + tax,Superdome
16457,Ascension Lutheran Church,16,7,,1,4,3,,,,,10,,Hotel location,$166-185 + tax,Convention Center
14428,Atonement Lutheran Church,3,,,,3,,,,,,2,,,,
16452,Atonement Lutheran Church,,,,,1,,,,,,2,,Accompaniment experience,$140-150 + tax,French Quarter
14758,Atonement Lutheran Church,2,2,,1,1,1,,,,,2,1,Accompaniment experience,$151-165 + tax,Superdome
13351,Atonement Lutheran Church,,7,,,1,2,,,,,3,1,Hotel location,$151-165 + tax,Convention Center
10197,Atonement Lutheran Church,4,5,,,2,1,,,,,6,,Hotel location,$151-165 + tax,Downtown
4130,Augsburg Lutheran Church,5,4,,,2,3,,,,,5,,Hotel location,$166-185 + tax,French Quarter
16176,Augustana Campus Congregation Lutheran Church,78,126,,,19,46,,1,1,,85,5,Hotel location,$166-185 + tax,Downtown
5464,Augustana Lutheran Church,3,2,,,1,2,,1,,,2,4,Accompaniment experience,$151-165 + tax,French Quarter
2458,Augustana Lutheran Church,2,2,,,1,2,,,,2,3,,Hotel location,$151-165 + tax,Downtown
3174,Augustana Lutheran Church,9,5,,,1,3,,,,,5,1,Hotel location,$151-165 + tax,Convention Center
14612,Barneveld Lutheran Church,1,2,,,,4,,,,,3,1,Hotel location,$151-165 + tax,French Quarter
14565,Bay View Lutheran Church,4,5,,,1,3,,,,,5,1,Hotel location,$151-165 + tax,Downtown
7490,Beautiful Savior Lutheran Church,1,1,,,,1,,,,,1,1,Hotel location,$140-150 + tax,Downtown
7226,Beaver Lutheran Church,3,2,,,1,2,,,,,3,1,Accompaniment experience,$166-185 + tax,French Quarter
13519,Bergen Lutheran Church,3,3,,,,1,,,,,2,1,Accompaniment experience,$166-185 + tax,French Quarter
12,Betel Lutheran Church,1,1,,,,1,,,,,,,,,
5080,Bethania Evangelical Lutheran Church,3,5,,,1,2,,,,,3,1,Hotel location,$166-185 + tax,French Quarter
1979,Bethany Lutheran Church,3,3,,,1,1,,,,,,,,,
12160,Bethany Lutheran Church,,4,,,,3,,,,,2,,Accompaniment experience,$140-150 + tax,Superdome
2417,Bethany Lutheran Church,2,3,,,1,3,,,,,2,2,Accompaniment experience,$151-165 + tax,French Quarter
5326,Bethany Lutheran Church,4,2,,,1,2,,1,,,2,2,Hotel price,$140-150 + tax,French Quarter
12669,Bethany Lutheran Church,,7,,,1,2,,,,,2,4,Hotel location,$166-185 + tax,Downtown
1576,Bethany Lutheran Church,3,5,,,1,1,,,,,3,2,Hotel location,$166-185 + tax,French Quarter
1958,Bethany Lutheran Church,8,4,,,2,1,,,,,5,,Hotel location,$151-165 + tax,Convention Center
2066,Bethany Lutheran Church,1,4,,,1,2,,,,,5,,Hotel location,$151-165 + tax,Superdome
11634,Bethany Lutheran Church,3,8,,,2,2,,,,,6,,Hotel location,$166-185 + tax,Superdome
5472,Bethany Lutheran Church,6,8,,2,2,2,,,,,6,2,Hotel location,$151-165 + tax,French Quarter
14529,Bethany Lutheran Church,2,16,,,,4,,,,,8,2,Hotel location,$166-185 + tax,Downtown
12183,Bethel Lutheran Church,,3,,,,1,,,,,1,,Hotel price,$151-165 + tax,French Quarter
10576,Bethel Lutheran Church,,2,,,,2,,,,,1,1,Hotel location,$151-165 + tax,Downtown
20169,Bethel Lutheran Church,,2,,,1,2,,,,,2,1,Accompaniment experience,$166-185 + tax,Downtown
6115,Bethel Lutheran Church,3,2,,,2,1,,,,,2,2,Hotel location,$166-185 + tax,Downtown
10973,Bethel Lutheran Church,2,3,,,1,2,,,,,3,1,Accompaniment experience,$151-165 + tax,Superdome
13198,Bethel Lutheran Church,5,2,,,1,1,,,,,4,,Hotel price,$166-185 + tax,Superdome
4843,Bethel Lutheran Church,4,1,,,2,2,,,,,4,1,Hotel location,$166-185 + tax,Convention Center
11881,Bethel Lutheran Church,4,6,,1,1,1,,,,,5,1,Hotel location,$151-165 + tax,Superdome
13791,Bethel Lutheran Church,5,6,,,1,2,,,,,6,,Hotel location,$151-165 + tax,Downtown
6034,Bethel Lutheran Church,9,2,,1,2,2,,,,,6,,Hotel price,$151-165 + tax,Downtown
12528,Bethel Lutheran Church,5,21,,,2,5,,,,,7,4,Hotel location,$166-185 + tax,Superdome
2905,Bethesda Evangelical Lutheran Church,1,2,,,1,,,,,,1,,Hotel location,$140-150 + tax,Superdome
3211,Bethesda Lutheran Church,5,4,,,1,1,,,,,3,1,Accompaniment experience,$151-165 + tax,Downtown
2879,Bethlehem Lutheran Church,,,,,1,,,,,,,,,,
10160,Bethlehem Lutheran Church,,,,,1,,,,,,,,,,
11299,Bethlehem Lutheran Church,,2,,3,1,1,,,,,,,,,
11676,Bethlehem Lutheran Church,1,1,,,1,,,,,,,,Accompaniment experience,$151-165 + tax,Convention Center
11002,Bethlehem Lutheran Church,,1,,,,1,,,,,1,,Accompaniment experience,$151-165 + tax,Superdome
4144,Bethlehem Lutheran Church,,2,,,,2,,,,,1,,Hotel location,$151-165 + tax,Downtown
12097,Bethlehem Lutheran Church,,5,,,,2,,,,,2,1,,,
2211,Bethlehem Lutheran Church,,3,,,1,2,,,,,2,1,Hotel location,$151-165 + tax,French Quarter
13822,Bethlehem Lutheran Church,1,3,,,1,1,,,,,2,2,Hotel location,$151-165 + tax,French Quarter
10388,Bethlehem Lutheran Church,1,5,,,1,1,,,,,3,,Hotel location,$166-185 + tax,Downtown
2401,Bethlehem Lutheran Church,6,,,,1,1,,,,,3,1,Hotel location,$151-165 + tax,French Quarter
11335,Bethlehem Lutheran Church,1,4,,,,3,,,,,3,2,Hotel location,$166-185 + tax,Downtown
12139,Bethlehem Lutheran Church,5,3,,,,3,,,,,4,,,,
12584,Bethlehem Lutheran Church,7,3,,,,3,,,,,4,1,Accompaniment experience,$151-165 + tax,French Quarter
